SectionID,ProcessedHeading,ProcessedContent,What,Why,How,When,Who,References,Contribution,Other
1,symon abstr_number system simulator,version abstr_number abstr_number abstr_number last updated abstr_number january,1,0,0,1,0,0,0,0
2,abstr_number abstr_number,symon general purpose simulator systems based mos technologies abstr_number microprocessor compatibles symon implemented java core goals accuracy,1,0,0,1,0,1,0,0
3,abstr_number abstr_number requirements,java abstr_number abstr_number higher maven abstr_number abstr_number higher building source junit abstr_number higher testing,0,0,1,0,0,0,0,0
4,abstr_number abstr_number features,symon simulate multiple abstr_number based architectures present,1,0,0,0,0,0,0,0
5,abstr_number abstr_number memory maps,,1,0,0,0,0,0,0,0
6,abstr_number abstr_number abstr_number symon memory map,abstr_number abstr_number fff abstr_number ram abstr_number abstr_number abstr_number via abstr_number abstr_number mos abstr_number acia serial console abstr_number abstr_number mos abstr_number crtc abstr_number ffff abstr_number rom crt controller uses memory address abstr_number start video memory,1,0,0,0,0,0,0,0
7,abstr_number abstr_number abstr_number multicomp memory map,abstr_number dfff abstr_number ram abstr_number ffff abstr_number rom ffd abstr_number ffd abstr_number motorola abstr_number acia ffd abstr_number ffdf controller cards,1,0,0,0,0,0,0,0
8,abstr_number abstr_number abstr_number simple memory map,abstr_number ffff abstr_number ram,1,0,0,0,0,0,0,0
9,abstr_number abstr_number serial console cpu status,abstr_image main window simulator acts primary input output system virtual serial terminal terminal attached simulated acia,1,0,0,0,0,0,0,0
10,abstr_number abstr_number rom loading,abstr_image symon load appropriately sized rom image symon architecture expects abstr_number abstr_number byte rom image,1,0,0,0,0,0,0,0
11,abstr_number abstr_number memory window,abstr_image memory contents viewed edited one page time memory window,1,0,0,0,0,0,0,0
12,abstr_number abstr_number trace log,abstr_image last abstr_number,1,0,0,0,0,0,0,0
13,abstr_number abstr_number simulator speeds,abstr_image simulated speeds may set abstr_number mhz abstr_number mhz,1,0,0,0,0,0,0,0
14,abstr_number abstr_number breakpoints,abstr_image breakpoints set removed breakpoints window,1,0,0,0,0,0,0,0
15,abstr_number abstr_number experimental abstr_number crtc video,abstr_image feature highly experimental possible open video window view menu window simulates output mos abstr_number crt controller located address abstr_number abstr_number default,1,0,0,0,0,1,0,0
16,abstr_number abstr_number abstr_number example basic program test video,program fill video screen printable characters abstr_number abstr_number abstr_number abstr_number abstr_number abstr_number poke,1,0,0,0,0,0,0,0
17,abstr_number abstr_number usage,,0,0,1,0,0,0,0,0
18,abstr_number abstr_number building,build symon apache maven,0,0,1,0,0,0,0,0
19,abstr_number abstr_number rom images,simulator requires rom image loaded memory work properly without rom memory,0,0,1,0,0,0,0,0
20,abstr_number abstr_number loading program,addition rom images,0,0,1,0,0,0,0,0
21,abstr_number abstr_number running,loading program rom image,0,0,1,0,0,0,0,0
22,abstr_number abstr_number revision history,abstr_number abstr_number abstr_number abstr_number january,0,0,0,1,0,0,0,0
23,abstr_number abstr_number roadmap,abstr_number abstr_number better breakpoint support symbolic debugging breakpoints abstr_number abstr_number complete rewrite javafx instead swing complete assembler disassembler built ability attach source code symbolic debugging,0,0,0,1,0,0,0,0
24,abstr_number abstr_number,feedback form dialogs,0,0,0,1,0,0,0,0
25,abstr_number abstr_number copyright acknowledgements,copyright abstr_number seth morabito web loomcom com portions copyright abstr_number maik merten maikmerten googlemail com additional components used project copyright respective owners enhanced abstr_number basic copyright lee davison abstr_number functional tests copyright klaus dormann jterminal copyright graham edgecombe project would possible without following resources abstr_hyperlink,0,0,0,0,1,0,0,0
26,abstr_number abstr_number licensing,symon free software distributed mit license please see file copying full details license,0,0,0,0,1,0,0,0
27,code along intro inheritance,,1,0,0,0,0,0,0,0
28,objectives,abstr_number learn inheritance object oriented ruby abstr_number write classes inherit another class,1,0,0,0,0,0,0,0
29,introduction inheritance,real world,1,0,0,0,0,0,0,0
30,inheritance,ruby,1,0,0,0,0,0,0,0
31,code along basic inheritance,domain model,0,0,1,0,0,0,0,0
32,step abstr_number defining super class,open lib super_vehicle going define methods parent class subclasses,0,0,1,0,0,0,0,0
33,step abstr_number defining subclass,open lib sub_car notice requiring lib super_vehicle car class need access vehicle class therefore need access file contains class ahead define class following way abstr_code_section use inherit car class vehicle notice methods defined thecar class_ run test suite see passing number tests car class wow write car class instances car class vehicle methods therefore access still failing test however looks like test expecting method individual car return phrase vrrrooooooooooooooooooooooom different return value method inherited vehicle class let overwrite inherited method one specific car,0,0,1,0,0,0,0,0
34,step abstr_number overwriting inherited methods,lib sub_car,0,0,1,0,0,0,0,0
35,method look ruby,example work well,0,0,1,0,0,0,0,0
36,prerender service abstr_hyperlink,google,1,0,1,0,0,0,0,0
37,middleware,list middleware available use prerender service,0,0,0,0,0,1,0,0
38,official middleware,,0,0,1,0,0,0,0,0
39,javascript,abstr_hyperlink express,0,0,0,0,0,1,0,0
40,ruby,abstr_hyperlink rails,0,0,0,0,0,1,0,0
41,apache,abstr_hyperlink,0,0,0,0,0,1,0,0
42,nginx,abstr_hyperlink,0,0,0,0,0,1,0,0
43,community middleware,,0,0,0,0,0,1,0,0
44,php,abstr_hyperlink zend framework abstr_number abstr_hyperlink symfony abstr_number abstr_hyperlink laravel,0,0,0,0,0,1,0,0
45,java,abstr_hyperlink,0,0,0,0,0,1,0,0
46,grails,abstr_hyperlink,0,0,0,0,0,1,0,0
47,nginx,abstr_hyperlink,0,0,0,0,0,1,0,0
48,apache,abstr_hyperlink request middleware different framework abstr_hyperlink,0,0,0,0,0,1,0,0
49,works,simple service takes url returns rendered html script tags removed note proxy request server using middleware relative links css images etc still work get http service prerender https www google com get http service prerender https www google com search angular,1,0,1,0,0,0,0,0
50,running locally,trying test prerender website localhost,0,0,1,0,0,0,0,0
51,deploying heroku,git clone https github com prerender prerender git prerender heroku create git push heroku master,0,0,1,0,0,0,0,0
52,customization,see abstr_hyperlink see customize server clone repo run server use npm install prerender save create express like server custom plugins,0,0,1,0,0,0,0,0
53,plugins,see abstr_hyperlink see create plugins use plugin system way connect express use middleware plugins little different want confuse prerender plugins prerender middleware,0,0,1,0,0,0,0,0
54,init,,0,0,1,0,0,0,0,0
55,beforephantomrequest req res next,,0,0,1,0,0,0,0,0
56,onphantompagecreate phantom req res next,,0,0,1,0,0,0,0,0
57,afterphantomrequest req res next,,0,0,1,0,0,0,0,0
58,beforesend req res next,,0,0,1,0,0,0,0,0
59,available plugins,,0,0,1,0,0,0,0,0
60,basicauth,want allow access prerender server authorized parties,0,0,1,0,0,0,0,0
61,removescripttags,remove script tags want framework specific routing rendering happen rendered html executed crawler crawlers may execute javascript,0,0,1,0,0,0,0,0
62,httpheaders,javascript routing catch things like abstr_number,0,0,1,0,0,0,0,0
63,whitelist,want allow requests certain domain,0,0,1,0,0,0,0,0
64,blacklist,want disallow requests certain domain,0,0,1,0,0,0,0,0
65,,,0,0,1,0,0,0,0,0
66,abstr_number htmlcache,get request check abstr_number cached copy cached copy found,0,0,1,0,0,0,0,0
67,region support,default,0,0,1,0,0,0,0,0
68,inmemoryhtmlcache,default memory cache easily change caching system compatible cache manager nodejs package example,0,0,1,0,0,0,0,0
69,logger,show console log phantomjs page local console great debugging,0,0,1,0,0,0,0,0
70,mongodbcache,caches pages mongodb database available abstr_hyperlink abstr_hyperlink,0,0,1,0,0,0,0,0
71,memjscache,caches pages memjs memcache service available abstr_hyperlink abstr_hyperlink,0,0,1,0,0,0,0,0
72,license,mit license mit copyright abstr_number todd hooper todd prerender permission hereby granted,0,0,0,0,1,0,0,0
73,vlayout,project vlayout powerfull layoutmanager extension recyclerview,1,0,0,0,0,0,0,0
74,design,providing custom layoutmanager recyclerview,1,0,0,0,0,0,0,0
75,main feature,provide default common layout implements,1,0,0,0,0,0,0,0
76,usage,,0,0,1,0,0,0,0,0
77,import library,please find latest version abstr_number abstr_number abstr_number far maven repository newest version upload jcenter mavencantral,0,0,1,0,0,0,0,0
78,initialize layoutmanager,abstr_code_section,0,0,1,0,0,0,0,0
79,initialize recycled pool size,provide reasonable recycled pool size recyclerview,0,0,1,0,0,0,0,0
80,set adapters,use delegateadapter root adapter make combination adapters make extend delegateadapter adapter overrides oncreatelayouthelper method abstr_code_section way set adapter extending virtuallayoutadapter implementing make deep combination business code abstr_code_section way,0,0,1,0,0,0,0,0
81,demo,abstr_image abstr_hyperlink,0,0,1,0,0,0,0,0
82,layout attributes,layouthelper attributes control layout style see read,0,0,0,0,0,1,0,0
83,contributing,open issue create pull request,0,0,0,0,0,0,1,0
84,license,vlayout available mit license,0,0,0,0,1,0,0,0
85,net core runtime corert,repo contains net core runtime optimized aot compilation ubuntu abstr_number abstr_number windows mac debug abstr_hyperlink abstr_hyperlink abstr_hyperlink release abstr_hyperlink abstr_hyperlink abstr_hyperlink,1,0,0,0,0,0,0,0
86,engage contribute provide feedback,best ways contribute try things,0,0,0,0,0,1,1,0
87,reporting security issues security bugs,security issues bugs reported privately,0,0,0,0,0,1,1,0
88,license,corert repo licensed abstr_hyperlink,0,0,0,0,1,0,0,0
89,net foundation,corert abstr_hyperlink project project adopted code conduct defined abstr_hyperlink clarify expected behavior community information,1,0,0,0,1,1,0,0
90,related projects,many net related projects github abstr_hyperlink links abstr_number net projects,0,0,0,0,0,1,0,0
91,hello world,,1,0,0,0,0,0,0,0
92,overview,going make file print abstr_hyperlink terminal,1,0,0,0,0,0,0,0
93,objectives,abstr_number create new ruby file abstr_number write syntactically valid code produce hello world abstr_number run ruby file abstr_number run learn gem abstr_number submit learn lab,1,0,0,0,0,0,0,0
94,instructions,get started clicking open button learn,0,0,1,0,0,0,0,0
95,creating file,need create text file called hello_world within lab directory file extension common convention specifying language file case,0,0,1,0,0,0,0,0
96,writing code,file hello_world created,0,0,1,0,0,0,0,0
97,executing file,execute file typing ruby hello_world terminal pressing enter ruby part command tells computer use ruby interpreter reading executing code file second part command,0,0,1,0,0,0,0,0
98,running learn,confirm everything working running learn command see tests passing red error text note write code,0,0,1,0,0,0,0,0
99,submitting lab,submit solution typing learn submit terminal,0,0,1,0,0,0,0,0
100,hello world history,small piece coding historyÃ¢ handwritten version hello world early programming language abstr_image abstr_hyperlink based abstr_number bell laboratories internal memorandum brian kernighan,0,0,0,0,0,0,0,1
101,description,words currently tested abstr_number bit ubuntu abstr_number abstr_number lucid,1,0,0,0,0,0,0,0
102,requirements,,0,0,1,0,0,0,0,0
103,cookbooks,,0,0,1,0,0,0,0,0
104,attributes,,0,0,1,0,0,0,0,0
105,usage,,0,0,1,0,0,0,0,0
106,todo,placeholder,0,0,0,1,0,0,0,0
107,issues,placeholder,0,0,1,0,0,0,0,0
108,development,source hosted abstr_hyperlink report issues questions feature requests abstr_hyperlink pull requests welcome make sure patches well tested ideally create topic branch every seperate change make,0,0,1,0,0,0,0,0
109,license author,author david king,0,0,0,0,1,0,0,0
110,lastpass cli,,1,0,0,0,0,0,0,0
111,abstr_number lastpass,abstr_number command line interface abstr_hyperlink,0,0,0,0,1,0,0,0
112,operating system support,lpass designed run gnu linux,0,0,1,0,0,0,0,0
113,dependencies,abstr_hyperlink abstr_hyperlink abstr_hyperlink abstr_hyperlink abstr_hyperlink optional abstr_hyperlink build time documentation generation abstr_hyperlink,0,0,1,0,0,0,0,0
114,installing linux,,0,0,1,0,0,0,0,0
115,redhat centos,install needed dependencies abstr_code_section,0,0,1,0,0,0,0,0
116,debian ubuntu,debian install needed dependencies abstr_code_section ubuntu install needed dependencies abstr_code_section,0,0,1,0,0,0,0,0
117,gentoo,install package abstr_code_section,0,0,1,0,0,0,0,0
118,linux distros,install packages listed dependencies section document,0,0,1,0,0,0,0,0
119,installing,install homebrew following instructions http brew install lastpass cli using homebrew abstr_code_section optionally add doc install documentation,0,0,1,0,0,0,0,0
120,installing freebsd,install binary package abstr_code_section build port abstr_code_section,0,0,1,0,0,0,0,0
121,building,make,0,0,1,0,0,0,0,0
122,installing,sudo make install environment variables passed make right thing prefix,0,0,1,0,0,0,0,0
123,running,installed lpass otherwise,0,0,1,0,0,0,0,0
124,documentation,install doc target builds installs documentation requires asciidoc prerequisite sudo make install doc installed,0,0,1,0,0,1,0,0
125,tuenti android abstr_hyperlink,sample project created show important features related android projects little sample uses mocked data simulate application working information tuenti servers repository going find interesting samples work android like configure android dependencies create android application leanback important dependency hos configure activity work launcher activity android projects extend leanback browsefragment create main view project extend leanback detailsfragment create detail view project extend leanback searchfragment create search view project show android recommendations create custom activity fragment without leanback library help android use view focus create custom activities fragments android different focus features added android like nextfocusdown use xml tag inside layouts use state list animators improve application change activities fragments background improve views capture android dpad events create presenters use arrayobjectadapter,1,0,0,0,0,0,0,0
126,implementation description,abstr_hyperlink abstr_hyperlink,0,0,0,0,0,1,0,0
127,video demo,abstr_hyperlink,0,0,1,0,0,0,0,0
128,screenshots,abstr_image abstr_image abstr_image abstr_image abstr_image abstr_image abstr_image abstr_image,0,0,1,0,0,0,0,0
129,libraries used sample project,abstr_hyperlink abstr_hyperlink abstr_hyperlink,0,0,0,0,0,1,0,0
130,developed,pedro vicente gÃ£Â³mez nchez abstr_hyperlink abstr_hyperlink abstr_hyperlink,0,0,0,0,1,0,0,0
131,license,copyright abstr_number pedro vicente gÃ£Â³mez nchez licensed apache license,0,0,0,0,1,0,0,0
132,welcome rails,rails web application framework includes everything needed create database backed web applications according abstr_hyperlink pattern understanding mvc pattern key understanding rails mvc divides application three layers,1,0,0,0,0,0,0,0
