ID,Heading,Content,What,Why,How,When,Who,References,Contributions,Other
1,merb,merb web development framework fast simple powerful development information check project website git repository development branch expect things break report issues lighthouse tracker,1,0,0,1,0,1,0,0
2,modules,merb consists following parts merb core core functionality needed bootstrap run application merb action args plugin handle request parameters parameters controller actions merb assets asset handling merb slices slices merb application modules merb cache support content caches memcache merb gen generators applications plugins components merb haml support haml merb helpers helpers text html formatting merb mailer mvc mail sending application merb param protection filter request parameters controllers logs merb exceptions exception notifications mail web hooks,0,0,1,0,0,0,0,0
3,rubinius language platform,rubinius modern language platform supports number programming languages philosophy high level architecture rubinius described rubinius runs macos many unix linux operating systems microsoft windows supported,1,0,1,0,0,0,0,0
4,code conduct,participation rubinius project governed rubinius code conduct rubinius code conduct,0,0,0,0,1,0,0,0
5,issues support,please file tickets github rubinius rubinius issues bugs problems additional help visit rubinius gitter chat room gitter rubinius rubinius,0,0,0,0,0,1,0,0
6,contributing,welcome contributions information see faq read contributing github rubinius rubinius blob master github contributing file,0,0,0,0,0,0,1,0
7,license,source code repository subject terms mozilla public license version unless stated otherwise copy license found file license mozilla org mpl contributions made prior january licensed old bsd clause license copy license found file bsd_license event directory contains license license txt copying file license specified said file applies contents said directory sub directories overwriting licenses specified,0,0,0,0,1,0,0,0
8,installing rubinius,install rubinius source use following steps ensure mri rubygems rake git installed git clone git github rubinius rubinius git rubinius configure prefix path install dir make install install process finishes follow directions printed terminal add rubinius executable bin directory path certain setups openssl require pass along additional options lib dir include dir pointing include relevant openssl directories installing via rvm homebrew rvm install rbx lib dir brew prefix openssl lib include dir brew prefix openssl include see book rubinius manuscript getting_rubinius html complete guide installing rubinius source,0,0,1,0,0,1,0,0
9,philosophy architecture,rubinius virtual computing machine computing machine possesses several mechanisms physical computers possess support computation runs environment provides various capabilities presented machine environment object certain configuration values influence machine operates managed configuration object machine boot process carefully builds components precise order machine ready run user code user code completes executing machine halts following precise sequence deconstructing various components rest components machine described,0,0,1,0,0,0,0,0
10,instructions,rubinius instruction set includes different categories instructions one key aspect rubinius philosophy instruction set represent machine semantic contrasts way rubinius implemented historically relied heavily primitives modeled smalltalk virtual machine primitives replaced instruction set evolves richer capabilities categories instructions stack instructions push pop get operands stack register instructions read write set registers assertion instructions halt execution cannot change semantics program instrumentation instructions cannot change semantics program emit data program parsing expression grammar peg instructions pegs elegant formalism describing recognizers foreign function interface ffi instructions binding calling external functions concurrency instructions execution threads concurrent data system instructions accessing files directories systam capabilities todo plenty places help parsers compilers instruction sets interest,0,1,1,0,0,0,0,0
11,heaps garbage collector,rubinius two kinds managed objects object oriented ones support inheriting superclass data objects concept object orientation rubinius three concepts heaps space managed objects live open heap one object heap contain reference object think normal ruby land closed heap one object heap contain reference object outside closed heap object outside contain reference object closed heap isolated heap one object isolated heap contain reference object outside heap object outside contain reference object isolated heap threads use isolated heaps execute fully independent thread must synchronize process boot fork halt garbage collector isolated heaps run thread rubinius uses single mechanism garbage collection immix mark region collector williams edu dbarowy cs334s18 assets immix pldi pdf rubinius garbage collector currently runs single separate thread must fully synchronize threads mutate managed memory stops world future single open heap introduce second generational area isolated heaps provide parallel collection todo plenty places help garbage collectors interest,0,0,1,0,0,0,0,0
12,codedb,rubinius codedb compiled code core standard libraries stored every executable context ruby scripts class module bodies methods blocks unique cached codedb future user code also cached codedb unique every executable context allows associating arbitrary dimensions data instance executable code example type information seen run time profile coverage information call graphs memory allocations data associated executable code todo plenty places help databases code analytics interest,0,0,1,0,0,0,0,0
